"SampleID" "Index"
"RSZYD17042774_A" 2.08863477331433
"RSZYD17050354_A" 1.79255334755419
"RSZYD17050402_A" 1.64640512907573
"RSZYD17042765_A" 2.24693423864484
"RSZYD17050349_A" 2.11151873183432
"RSZYD17050371_A" 1.60000098533844
"RSZYD17050381_A" 1.78279100062513
"RSZYD17050360_A" 1.77051582454413
"RSZYD17042801_A" 1.10940242976004
"RSZYD17042799_A" 1.45752740579953
"RSZYD17050361_A" 2.31005603163896
"RSZYD17050409_A" 2.37368116868154
"RSZYD17042780_A" 2.10022047164062
"RSZYD17042775_A" 1.5988806015495
"RSZYD17042784_A" 1.320776105561
"RSZYD17050362_A" 1.90997601376274
"RSZYD17042795_A" 1.72076867859808
"RSZYD17042821_A" 2.17163133317879
"RSZYD17050376_A" 1.87911095473939
"RSZYD17050377_A" 1.69736244582231
"RSZYD17050370_A" 2.27202174179562
"RSZYD17042811_A" 2.01892703680562
"RSZYD17042789_A" 1.84035409702868
"RSZYD17042776_A" 2.22941355024636
"RSZYD17042816_A" 2.22660310664188
"RSZYD17042767_A" 1.96405049920945
"RSZYD17050390_A" 1.75394535768606
"RSZYD17050351_A" 2.09367765318713
"RSZYD17050374_A" 1.38869558697134
"RSZYD17042798_A" 2.16693349005206
"RSZYD17050391_A" 2.22469626629473
"RSZYD17042793_A" 2.25221413516381
"RSZYD17050397_A" 1.63495217879828
"RSZYD17042771_A" 2.3374049900988
"RSZYD17042805_A" 2.26066152405533
"RSZYD17050382_A" 2.34426758099486
"RSZYD17050350_A" 1.86939077464865
"RSZYD17050383_A" 1.33378164633234
"RSZYD17042797_A" 2.03944229215091
"RSZYD17042757_A" 1.6833296171569
"RSZYD17050355_A" 2.31188610301726
"RSZYD17042763_A" 2.38014098639677
"RSZYD17050389_A" 1.00366596127577
"RSZYD17050348_A" 2.02053132691841
"RSZYD17042773_A" 1.53885403741121
"RSZYD17050385_A" 1.37590169374423
"RSZYD17050411_A" 1.65437929593452
"RSZYD17042770_A" 1.81741746324302
"RSZYD17042822_A" 1.23639753375578
"RSZYD17042817_A" 2.35106137272481
"RSZYD17042803_A" 2.37694733421991
"RSZYD17042782_A" 1.3270551206617
"RSZYD17050369_A" 1.09391834716025
"RSZYD17050406_A" 1.71014325504758
"RSZYD17050399_A" 2.13446498101283
"RSZYD17042762_A" 1.95511661624981
"RSZYD17050387_A" 1.32046712535932
"RSZYD17042756_A" 1.99040379479399
"RSZYD17042786_A" 2.24602496065711
"RSZYD17050408_A" 2.02197816529018
"RSZYD17042778_A" 2.38096559420114
"RSZYD17042760_A" 2.00631230463709
"RSZYD17042777_A" 2.05699698998048
"RSZYD17050403_A" 1.71297992164591
"RSZYD17050380_A" 2.35201511511416
"RSZYD17050356_A" 2.14255171248672
"RSZYD17050358_A" 1.88972813815273
"RSZYD17042769_A" 1.13486043553757
"RSZYD17050405_A" 1.64310576812843
"RSZYD17042796_A" 1.82184780919975
"RSZYD17050357_A" 2.41057218267941
"RSZYD17050359_A" 2.09103235356982
"RSZYD17042761_A" 1.9433932205682
"RSZYD17042790_A" 1.69461422559263
"RSZYD17050363_A" 1.52867247434681
"RSZYD17050395_A" 2.13856481380525
"RSZYD17042768_A" 1.67007200462912
"RSZYD17050384_A" 2.11027937547473
"RSZYD17042759_A" 2.01563052523339
"RSZYD17042809_A" 1.83690365129388
"RSZYD17050368_A" 2.21176325035009
"RSZYD17042810_A" 1.87261276755721
