Type,meal,M_count,F_count
D1,D21,170,135
D1,D31,140,120
D1,D41,100,90
D1,D51,150,120
D2,D21,170,135
D2,D31,150,120
D2,D41,100,100
D2,D51,175,150
D3,D21,170,135
D3,D31,80,60
D3,D41,50,50
D3,D51,150,120
D4,D21,170,135
D4,D31,200,160
D4,D41,100,80
D4,D51,200,150
D5,D21,170,135
D5,D31,200,150
D5,D41,70,60
D5,D51,200,180
